epoch,accuracy,loss,val_accuracy,val_loss
0,0.8890027403831482,0.2551245093345642,0.9034391641616821,0.3393649160861969
1,0.9566256999969482,0.12461492419242859,0.9232804179191589,0.3122638165950775
2,0.9631147384643555,0.10329510271549225,0.9537037014961243,0.09850023686885834
3,0.9682376980781555,0.0878906324505806,0.9457672238349915,0.12096326053142548
4,0.9805327653884888,0.06422380357980728,0.9259259104728699,0.18394975364208221
5,0.9839481115341187,0.05820408836007118,0.9404761791229248,0.16369371116161346
6,0.9846311211585999,0.050579410046339035,0.9497354626655579,0.11745958775281906
7,0.9904371500015259,0.030305981636047363,0.9563491940498352,0.1740901917219162
8,0.9877049326896667,0.0328662283718586,0.9629629850387573,0.12051502615213394
9,0.9907786846160889,0.030270738527178764,0.9656084775924683,0.11028742790222168
10,0.9948770403862,0.01874953880906105,0.9378306865692139,0.19588258862495422
11,0.9931694269180298,0.029476504772901535,0.9629629850387573,0.15036894381046295
12,0.9904371500015259,0.026478361338377,0.9589946866035461,0.17302687466144562
13,0.9955601096153259,0.01679595373570919,0.9656084775924683,0.216058149933815
14,0.9959016442298889,0.013675599358975887,0.9629629850387573,0.17174935340881348
15,0.9952185750007629,0.018545858561992645,0.9603174328804016,0.14534978568553925
16,0.994535505771637,0.013822882436215878,0.9457672238349915,0.18264354765415192
17,0.9965847134590149,0.013803784735500813,0.9563491940498352,0.18113191425800323
