epoch,loss,mean_absolute_error,val_loss,val_mean_absolute_error
1,0.41457492113113403,0.4542076587677002,0.2834506928920746,0.40349099040031433
2,0.23536892235279083,0.32846689224243164,0.1805497407913208,0.3164050579071045
3,0.12307600677013397,0.2472999095916748,0.15302293002605438,0.2960900366306305
4,0.0964152067899704,0.21865591406822205,0.07481992989778519,0.1901715248823166
5,0.0703958198428154,0.18849985301494598,0.08474984765052795,0.21562469005584717
6,0.05726787820458412,0.1698945164680481,0.04708487540483475,0.14876578748226166
7,0.048467058688402176,0.15584830939769745,0.044907908886671066,0.14746519923210144
8,0.04251077398657799,0.14534138143062592,0.03619078919291496,0.13313059508800507
9,0.049563147127628326,0.15294337272644043,0.03141539543867111,0.11738038063049316
10,0.03397545963525772,0.1295124739408493,0.03283528983592987,0.12757280468940735
11,0.0330461747944355,0.12751637399196625,0.029275165870785713,0.11467292904853821
12,0.03597046062350273,0.12926967442035675,0.031158456578850746,0.1194002777338028
13,0.061158083379268646,0.15405236184597015,0.031076153740286827,0.117829330265522
14,0.03553258255124092,0.1297895312309265,0.028635552152991295,0.11652643233537674
15,0.029507486149668694,0.11995658278465271,0.026366809383034706,0.11053939163684845
16,0.02858123742043972,0.11739793419837952,0.021927550435066223,0.1004534512758255
17,0.025725586339831352,0.11127597093582153,0.026420071721076965,0.11289092153310776
18,0.025481104850769043,0.11041472852230072,0.023678861558437347,0.10244399309158325
19,0.025683481246232986,0.11046656966209412,0.02026684582233429,0.09729237854480743
20,0.02786741591989994,0.11188146471977234,0.0212128646671772,0.10152815282344818
21,0.022366680204868317,0.10264544934034348,0.023041067644953728,0.10571623593568802
22,0.02216644026339054,0.10281536728143692,0.020070461556315422,0.09570733457803726
23,0.022112013772130013,0.10240224748849869,0.021371742710471153,0.09530137479305267
24,0.021036295220255852,0.09991156309843063,0.019747836515307426,0.09773337095975876
25,0.020797908306121826,0.0992838442325592,0.017420511692762375,0.08725569397211075
26,0.020892329514026642,0.09838886559009552,0.021221095696091652,0.1046503558754921
27,0.020032647997140884,0.09601977467536926,0.019038109108805656,0.09605198353528976
28,0.019405972212553024,0.09495523571968079,0.019036637619137764,0.08954095095396042
29,0.019376177340745926,0.0943112000823021,0.016711123287677765,0.08540087193250656
30,0.02026529610157013,0.09648505598306656,0.018676910549402237,0.09121788293123245
31,0.01824858970940113,0.09164007753133774,0.019191836938261986,0.09580197930335999
32,0.01789218559861183,0.09066817164421082,0.020007062703371048,0.09720399975776672
33,0.018160687759518623,0.09166351705789566,0.020300528034567833,0.10201965272426605
34,0.017884109169244766,0.09081629663705826,0.017469460144639015,0.08988899737596512
