,oid,sgn,formula,pretty_formula,yp,ypl
238,2310517,62,S8Mo4,MoS2,0.03305505,-1.0
188,1011183,61,Mo8S16,MoS2,0.33937642,-1.0
155,9006296,5,Mo8S16,MoS2,0.45245793,-1.0
66,1010019,62,S8Mo4,MoS2,0.075661644,-1.0
268,1528542,181,Mo3S6,MoS2,0.021816805,-1.0
161,7221230,63,S4Mo4S4,MoS2,0.50765634,1.0
294,1528416,14,S8Mo4,MoS2,0.06275452,-1.0
229,1010063,137,Mo2S4,MoS2,0.3534607,-1.0
220,1010500,201,Mo4S8,MoS2,0.9983273,1.0
15,1527495,52,S8Mo8S8,MoS2,0.48582274,-1.0
245,1523448,74,S8Mo4,MoS2,0.070322804,-1.0
6,9009092,60,Mo4S8,MoS2,0.049593553,-1.0
104,8103498,62,Mo4S8,MoS2,0.89467627,1.0
90,1538411,62,S4Mo4S4,MoS2,0.5017106,1.0
218,1523402,62,S4Mo4S4,MoS2,0.9352331,1.0
205,1541349,14,S4Mo4S4,MoS2,0.9587453,1.0
190,2107191,12,Mo2S4,MoS2,0.5595647,1.0
194,1008990,129,Mo2S4,MoS2,0.15554598,-1.0
132,1538603,187,Mo2S6Mo2S2,MoS2,0.50387,1.0
233,1528384,62,S4Mo4S4,MoS2,0.8134926,1.0
173,1011216,149,S6Mo3,MoS2,0.42036656,-1.0
178,1535958,51,S6Mo4S2,MoS2,0.24564852,-1.0
206,1522847,71,S4Mo2,MoS2,0.28875816,-1.0
96,1010942,141,Mo4S8,MoS2,0.89867526,1.0
89,1534319,14,S4Mo4S12Mo4,MoS2,0.28069496,-1.0
179,1525492,166,S12Mo6,MoS2,0.71867716,1.0
0,1010922,33,Mo8S16,MoS2,0.50646657,1.0
46,2310212,40,S8Mo4,MoS2,0.7816478,1.0
171,1528224,111,S4Mo4S4,MoS2,0.89678526,1.0
107,9012855,12,S8Mo4,MoS2,0.4961927,-1.0
133,2106695,15,Mo4S8,MoS2,0.26237258,-1.0
223,4124080,54,S16Mo8,MoS2,0.72545224,1.0
102,9006305,7,Mo4S8,MoS2,0.6136493,1.0
108,9000258,61,Mo8S16,MoS2,0.30656797,-1.0
213,1521124,10,MoS4Mo,MoS2,0.62614673,1.0
246,2310214,63,S4Mo8S12,MoS2,0.43923426,-1.0
125,1523378,62,S4Mo4S4,MoS2,0.2551847,-1.0
135,1521122,12,S4Mo8S12,MoS2,0.7349045,1.0
224,1509726,74,S8Mo4,MoS2,0.18518078,-1.0
