,yp_proba,yp_label,y_true
0,0.99875355,1.0,1
1,0.9902593,1.0,1
2,0.99922395,1.0,1
3,0.9994622,1.0,1
4,0.99984527,1.0,1
5,0.99992085,1.0,1
6,0.9847067,1.0,1
7,0.98733306,1.0,1
8,0.9925867,1.0,1
9,0.9993338,1.0,1
10,0.99928135,1.0,1
11,0.853856,1.0,1
12,0.9995111,1.0,1
13,0.999471,1.0,1
14,0.9979983,1.0,1
15,0.9999757,1.0,1
16,0.9892926,1.0,1
17,0.8615245,1.0,1
18,0.99950457,1.0,1
19,0.39885545,-1.0,1
20,0.9476612,1.0,1
21,0.9880014,1.0,1
22,0.8861575,1.0,1
23,0.9991203,1.0,1
24,0.99859136,1.0,1
25,0.996567,1.0,1
26,0.94969046,1.0,1
27,0.9695612,1.0,1
28,0.94397104,1.0,1
29,0.99911934,1.0,1
30,0.9982905,1.0,1
31,0.7895973,1.0,1
32,0.9864791,1.0,1
33,0.9989668,1.0,1
34,0.95497257,1.0,1
35,0.898118,1.0,1
36,0.99779785,1.0,1
37,0.99999356,1.0,1
38,0.99999857,1.0,1
39,0.99998844,1.0,1
40,0.9965029,1.0,1
41,0.9162567,1.0,1
42,0.9947501,1.0,1
43,0.9999826,1.0,1
44,0.9929576,1.0,1
45,0.9979279,1.0,1
46,0.9996307,1.0,1
47,0.99924636,1.0,1
48,0.986075,1.0,1
49,0.99960667,1.0,1
50,0.99978536,1.0,1
51,0.97769755,1.0,1
52,0.8711174,1.0,1
53,0.9197933,1.0,1
54,0.6892893,1.0,1
55,0.99901164,1.0,1
56,0.9977829,1.0,1
57,0.9944351,1.0,1
58,0.72193146,1.0,1
59,0.9993445,1.0,1
60,0.89411354,1.0,1
61,0.26528788,-1.0,1
62,0.94281906,1.0,1
63,0.9377838,1.0,1
64,0.9935091,1.0,1
65,0.98019284,1.0,1
66,0.99761677,1.0,1
67,0.9991603,1.0,1
68,0.99983096,1.0,1
69,0.9999659,1.0,1
70,0.9876249,1.0,1
71,0.99831223,1.0,1
72,0.9999496,1.0,1
73,0.8822736,1.0,1
74,0.9948059,1.0,1
75,0.34941724,-1.0,1
76,0.9995597,1.0,1
77,0.99622935,1.0,1
78,0.3551565,-1.0,1
79,0.9999156,1.0,1
80,0.74911106,1.0,1
81,0.7980858,1.0,1
82,0.99999523,1.0,1
