,Classifier,AUC,Accuracy,Sensitivity,Specificity
0,CNN-C,0.9809358016304347,0.937037037037037,0.9319196428571429,0.9619565217391305
1,CAE-MLP-C,0.9679038480201863,0.9185185185185185,0.9430803571428571,0.7989130434782609
