,sgn,Hall,Schoenflies,HM,HMu,class,Nau
414,133,P 4n 2c -1n,D4h^11,P 42/n b c,P 42/n b c :1,tetragonal,"16
"
415,133,-P 4ac 2b,D4h^11,P 42/n b c,P 42/n b c :2,tetragonal,"16
"
416,134,P 4n 2 -1n,D4h^12,P 42/n n m,P 42/n n m :1,tetragonal,"16
"
417,134,-P 4ac 2bc,D4h^12,P 42/n n m,P 42/n n m :2,tetragonal,"16
"
418,135,-P 4c 2ab,D4h^13,P 42/m b c,P 42/m b c,tetragonal,"16
"
419,136,-P 4n 2n,D4h^14,P 42/m n m,P 42/m n m,tetragonal,"16
"
420,137,P 4n 2n -1n,D4h^15,P 42/n m c,P 42/n m c :1,tetragonal,"16
"
421,137,-P 4ac 2a,D4h^15,P 42/n m c,P 42/n m c :2,tetragonal,"16
"
422,138,P 4n 2ab -1n,D4h^16,P 42/n c m,P 42/n c m :1,tetragonal,"16
"
423,138,-P 4ac 2ac,D4h^16,P 42/n c m,P 42/n c m :2,tetragonal,"16
"
424,139,-I 4 2,D4h^17,I 4/m m m,I 4/m m m,tetragonal,"32
"
425,140,-I 4 2c,D4h^18,I 4/m c m,I 4/m c m,tetragonal,"32
"
426,141,I 4bw 2bw -1bw,D4h^19,I 41/a m d,I 41/a m d :1,tetragonal,"32
"
427,141,-I 4bd 2,D4h^19,I 41/a m d,I 41/a m d :2,tetragonal,"32
"
428,142,I 4bw 2aw -1bw,D4h^20,I 41/a c d,I 41/a c d :1,tetragonal,"32
"
429,142,-I 4bd 2c,D4h^20,I 41/a c d,I 41/a c d :2,tetragonal,"32
"
430,143,P 3,C3^1,P 3,P 3,trigonal,"3
"
431,144,P 31,C3^2,P 31,P 31,trigonal,"3
"
432,145,P 32,C3^3,P 32,P 32,trigonal,"3
"
433,146,R 3,C3^4,R 3,R 3 :H,rhombohedral,"9
"
434,146,P 3*,C3^4,R 3,R 3 :R,rhombohedral,"3
"
435,147,-P 3,C3i^1,P -3,P -3,trigonal,"6
"
436,148,-R 3,C3i^2,R -3,R -3 :H,rhombohedral,"18
"
437,148,-P 3*,C3i^2,R -3,R -3 :R,rhombohedral,"6
"
438,149,P 3 2,D3^1,P 3 1 2,P 3 1 2,trigonal,"6
"
439,150,"P 3 2""",D3^2,P 3 2 1,P 3 2 1,trigonal,"6
"
440,151,P 31 2 (0 0 4),D3^3,P 31 1 2,P 31 1 2,trigonal,"6
"
441,152,"P 31 2""",D3^4,P 31 2 1,P 31 2 1,trigonal,"6
"
442,153,P 32 2 (0 0 2),D3^5,P 32 1 2,P 32 1 2,trigonal,"6
"
443,154,"P 32 2""",D3^6,P 32 2 1,P 32 2 1,trigonal,"6
"
444,155,"R 3 2""",D3^7,R 3 2,R 3 2 :H,rhombohedral,"18
"
445,155,P 3* 2,D3^7,R 3 2,R 3 2 :R,rhombohedral,"6
"
446,156,"P 3 -2""",C3v^1,P 3 m 1,P 3 m 1,trigonal,"6
"
447,157,P 3 -2,C3v^2,P 3 1 m,P 3 1 m,trigonal,"6
"
448,158,"P 3 -2""c",C3v^3,P 3 c 1,P 3 c 1,trigonal,"6
"
449,159,P 3 -2c,C3v^4,P 3 1 c,P 3 1 c,trigonal,"6
"
450,160,"R 3 -2""",C3v^5,R 3 m,R 3 m :H,rhombohedral,"18
"
451,160,P 3* -2,C3v^5,R 3 m,R 3 m :R,rhombohedral,"6
"
452,161,"R 3 -2""c",C3v^6,R 3 c,R 3 c :H,rhombohedral,"18
"
453,161,P 3* -2n,C3v^6,R 3 c,R 3 c :R,rhombohedral,"6
"
454,162,-P 3 2,D3d^1,P -3 1 m,P -3 1 m,trigonal,"12
"
455,163,-P 3 2c,D3d^2,P -3 1 c,P -3 1 c,trigonal,"12
"
456,164,"-P 3 2""",D3d^3,P -3 m 1,P -3 m 1,trigonal,"12
"
457,165,"-P 3 2""c",D3d^4,P -3 c 1,P -3 c 1,trigonal,"12
"
458,166,"-R 3 2""",D3d^5,R -3 m,R -3 m :H,rhombohedral,"36
"
459,166,-P 3* 2,D3d^5,R -3 m,R -3 m :R,rhombohedral,"12
"
460,167,"-R 3 2""c",D3d^6,R -3 c,R -3 c :H,rhombohedral,"36
"
461,167,-P 3* 2n,D3d^6,R -3 c,R -3 c :R,rhombohedral,"12
"
462,168,P 6,C6^1,P 6,P 6,hexagonal,"6
"
463,169,P 61,C6^2,P 61,P 61,hexagonal,"6
"
464,170,P 65,C6^3,P 65,P 65,hexagonal,"6
"
465,171,P 62,C6^4,P 62,P 62,hexagonal,"6
"
466,172,P 64,C6^5,P 64,P 64,hexagonal,"6
"
467,173,P 6c,C6^6,P 63,P 63,hexagonal,"6
"
468,174,P -6,C3h^1,P -6,P -6,hexagonal,"6
"
469,175,-P 6,C6h^1,P 6/m,P 6/m,hexagonal,"12
"
470,176,-P 6c,C6h^2,P 63/m,P 63/m,hexagonal,"12
"
471,177,P 6 2,D6^1,P 6 2 2,P 6 2 2,hexagonal,"12
"
472,178,P 61 2 (0 0 5),D6^2,P 61 2 2,P 61 2 2,hexagonal,"12
"
473,179,P 65 2 (0 0 1),D6^3,P 65 2 2,P 65 2 2,hexagonal,"12
"
474,180,P 62 2 (0 0 4),D6^4,P 62 2 2,P 62 2 2,hexagonal,"12
"
475,181,P 64 2 (0 0 2),D6^5,P 64 2 2,P 64 2 2,hexagonal,"12
"
476,182,P 6c 2c,D6^6,P 63 2 2,P 63 2 2,hexagonal,"12
"
477,183,P 6 -2,C6v^1,P 6 m m,P 6 m m,hexagonal,"12
"
478,184,P 6 -2c,C6v^2,P 6 c c,P 6 c c,hexagonal,"12
"
479,185,P 6c -2,C6v^3,P 63 c m,P 63 c m,hexagonal,"12
"
480,186,P 6c -2c,C6v^4,P 63 m c,P 63 m c,hexagonal,"12
"
481,187,P -6 2,D3h^1,P -6 m 2,P -6 m 2,hexagonal,"12
"
482,188,P -6c 2,D3h^2,P -6 c 2,P -6 c 2,hexagonal,"12
"
483,189,P -6 -2,D3h^3,P -6 2 m,P -6 2 m,hexagonal,"12
"
484,190,P -6c -2c,D3h^4,P -6 2 c,P -6 2 c,hexagonal,"12
"
485,191,-P 6 2,D6h^1,P 6/m m m,P 6/m m m,hexagonal,"24
"
486,192,-P 6 2c,D6h^2,P 6/m c c,P 6/m c c,hexagonal,"24
"
487,193,-P 6c 2,D6h^3,P 63/m c m,P 63/m c m,hexagonal,"24
"
488,194,-P 6c 2c,D6h^4,P 63/m m c,P 63/m m c,hexagonal,"24
"
489,195,P 2 2 3,T^1,P 2 3,P 2 3,cubic,"12
"
490,196,F 2 2 3,T^2,F 2 3,F 2 3,cubic,"48
"
491,197,I 2 2 3,T^3,I 2 3,I 2 3,cubic,"24
"
492,198,P 2ac 2ab 3,T^4,P 21 3,P 21 3,cubic,"12
"
493,199,I 2b 2c 3,T^5,I 21 3,I 21 3,cubic,"24
"
494,200,-P 2 2 3,Th^1,P m -3,P m -3,cubic,"24
"
495,201,P 2 2 3 -1n,Th^2,P n -3,P n -3 :1,cubic,"24
"
496,201,-P 2ab 2bc 3,Th^2,P n -3,P n -3 :2,cubic,"24
"
497,202,-F 2 2 3,Th^3,F m -3,F m -3,cubic,"96
"
498,203,F 2 2 3 -1d,Th^4,F d -3,F d -3 :1,cubic,"96
"
499,203,-F 2uv 2vw 3,Th^4,F d -3,F d -3 :2,cubic,"96
"
500,204,-I 2 2 3,Th^5,I m -3,I m -3,cubic,"48
"
501,205,-P 2ac 2ab 3,Th^6,P a -3,P a -3,cubic,"24
"
502,206,-I 2b 2c 3,Th^7,I a -3,I a -3,cubic,"48
"
503,207,P 4 2 3,O^1,P 4 3 2,P 4 3 2,cubic,"24
"
504,208,P 4n 2 3,O^2,P 42 3 2,P 42 3 2,cubic,"24
"
505,209,F 4 2 3,O^3,F 4 3 2,F 4 3 2,cubic,"96
"
506,210,F 4d 2 3,O^4,F 41 3 2,F 41 3 2,cubic,"96
"
507,211,I 4 2 3,O^5,I 4 3 2,I 4 3 2,cubic,"48
"
508,212,P 4acd 2ab 3,O^6,P 43 3 2,P 43 3 2,cubic,"24
"
509,213,P 4bd 2ab 3,O^7,P 41 3 2,P 41 3 2,cubic,"24
"
510,214,I 4bd 2c 3,O^8,I 41 3 2,I 41 3 2,cubic,"48
"
511,215,P -4 2 3,Td^1,P -4 3 m,P -4 3 m,cubic,"24
"
512,216,F -4 2 3,Td^2,F -4 3 m,F -4 3 m,cubic,"96
"
513,217,I -4 2 3,Td^3,I -4 3 m,I -4 3 m,cubic,"48
"
514,218,P -4n 2 3,Td^4,P -4 3 n,P -4 3 n,cubic,"24
"
515,219,F -4a 2 3,Td^5,F -4 3 c,F -4 3 c,cubic,"96
"
516,220,I -4bd 2c 3,Td^6,I -4 3 d,I -4 3 d,cubic,"48
"
517,221,-P 4 2 3,Oh^1,P m -3 m,P m -3 m,cubic,"48
"
518,222,P 4 2 3 -1n,Oh^2,P n -3 n,P n -3 n :1,cubic,"48
"
519,222,-P 4a 2bc 3,Oh^2,P n -3 n,P n -3 n :2,cubic,"48
"
520,223,-P 4n 2 3,Oh^3,P m -3 n,P m -3 n,cubic,"48
"
521,224,P 4n 2 3 -1n,Oh^4,P n -3 m,P n -3 m :1,cubic,"48
"
522,224,-P 4bc 2bc 3,Oh^4,P n -3 m,P n -3 m :2,cubic,"48
"
523,225,-F 4 2 3,Oh^5,F m -3 m,F m -3 m,cubic,"192
"
524,226,-F 4a 2 3,Oh^6,F m -3 c,F m -3 c,cubic,"192
"
525,227,F 4d 2 3 -1d,Oh^7,F d -3 m,F d -3 m :1,cubic,"192
"
526,227,-F 4vw 2vw 3,Oh^7,F d -3 m,F d -3 m :2,cubic,"192
"
527,228,F 4d 2 3 -1ad,Oh^8,F d -3 c,F d -3 c :1,cubic,"192
"
528,228,-F 4ud 2vw 3,Oh^8,F d -3 c,F d -3 c :2,cubic,"192
"
529,229,-I 4 2 3,Oh^9,I m -3 m,I m -3 m,cubic,"96
"
530,230,-I 4bd 2c 3,Oh^10,I a -3 d,I a -3 d,cubic,"96
"
